0 128 640 5 5 0
1 2 a 3
1 2 b 2
1 6 c 1
1 93 d 0
1 75 e 0
2 3 a 2
2 3 b 3
2 50 c 2
2 105 d 2
2 42 e 4
3 4 a 0
3 4 b 1
3 34 c 2
3 123 d 3
3 29 e 0
4 5 a 0
4 5 b 1
4 9 c 2
4 106 d 2
4 76 e 0
5 6 a 2
5 6 b 0
5 33 c 0
5 55 d 4
5 34 e 4
6 7 a 4
6 7 b 2
6 37 c 4
6 1 d 0
6 76 e 1
7 8 a 4
7 8 b 3
7 88 c 1
7 14 d 4
7 62 e 4
8 9 a 2
8 9 b 3
8 125 c 3
8 73 d 0
8 46 e 1
9 10 a 0
9 10 b 2
9 93 c 1
9 62 d 3
9 23 e 3
10 11 a 4
10 11 b 2
10 68 c 4
10 32 d 3
10 56 e 2
11 12 a 0
11 12 b 0
11 4 c 2
11 68 d 3
11 18 e 4
12 13 a 0
12 13 b 0
12 113 c 1
12 35 d 2
12 109 e 4
13 14 a 1
13 14 b 2
13 99 c 3
13 92 d 1
13 83 e 4
14 15 a 4
14 15 b 1
14 55 c 1
14 47 d 1
14 19 e 2
15 16 a 2
15 16 b 3
15 78 c 1
15 3 d 0
15 64 e 3
16 17 a 2
16 17 b 1
16 12 c 2
16 98 d 2
16 48 e 3
17 18 a 3
17 18 b 2
17 90 c 2
17 120 d 1
17 126 e 0
18 19 a 4
18 19 b 1
18 37 c 1
18 23 d 2
18 8 e 0
19 20 a 2
19 20 b 1
19 93 c 0
19 53 d 2
19 113 e 4
20 21 a 1
20 21 b 2
20 119 c 3
20 108 d 2
20 31 e 1
21 22 a 2
21 22 b 2
21 107 c 4
21 121 d 1
21 63 e 4
22 23 a 0
22 23 b 0
22 55 c 1
22 62 d 3
22 60 e 4
23 24 a 1
23 24 b 2
23 90 c 2
23 65 d 3
23 76 e 4
24 25 a 4
24 25 b 1
24 89 c 1
24 43 d 4
24 100 e 4
25 26 a 2
25 26 b 0
25 62 c 3
25 73 d 0
25 62 e 0
26 27 a 1
26 27 b 2
26 20 c 1
26 14 d 3
26 90 e 1
27 28 a 0
27 28 b 1
27 108 c 2
27 15 d 2
27 122 e 2
28 29 a 3
28 29 b 1
28 91 c 0
28 5 d 2
28 36 e 2
29 30 a 1
29 30 b 2
29 122 c 2
29 79 d 2
29 36 e 0
30 31 a 3
30 31 b 4
30 100 c 0
30 110 d 0
30 8 e 3
31 32 a 3
31 32 b 2
31 60 c 2
31 7 d 3
31 34 e 4
32 33 a 0
32 33 b 2
32 37 c 3
32 100 d 1
32 10 e 3
33 34 a 1
33 34 b 1
33 71 c 2
33 115 d 2
33 25 e 1
34 35 a 0
34 35 b 0
34 81 c 0
34 69 d 3
34 110 e 1
35 36 a 4
35 36 b 4
35 113 c 2
35 17 d 3
35 109 e 4
36 37 a 3
36 37 b 4
36 94 c 4
36 47 d 3
36 59 e 3
37 38 a 0
37 38 b 2
37 79 c 0
37 29 d 2
37 68 e 0
38 39 a 3
38 39 b 1
38 1 c 0
38 125 d 2
38 54 e 1
39 40 a 0
39 40 b 4
39 52 c 0
39 21 d 1
39 3 e 4
40 41 a 3
40 41 b 0
40 46 c 1
40 78 d 0
40 98 e 0
41 42 a 0
41 42 b 2
41 55 c 4
41 53 d 1
41 78 e 0
42 43 a 1
42 43 b 0
42 28 c 4
42 125 d 0
42 5 e 2
43 44 a 0
43 44 b 0
43 45 c 2
43 123 d 4
43 11 e 1
44 45 a 0
44 45 b 4
44 63 c 4
44 40 d 1
44 37 e 1
45 46 a 3
45 46 b 3
45 42 c 1
45 35 d 3
45 94 e 4
46 47 a 2
46 47 b 2
46 75 c 3
46 45 d 3
46 6 e 3
47 48 a 2
47 48 b 2
47 3 c 1
47 43 d 0
47 45 e 2
48 49 a 1
48 49 b 3
48 54 c 4
48 39 d 0
48 44 e 4
49 50 a 3
49 50 b 4
49 78 c 1
49 79 d 2
49 29 e 4
50 51 a 0
50 51 b 3
50 54 c 0
50 117 d 4
50 94 e 1
51 52 a 1
51 52 b 3
51 95 c 3
51 13 d 3
51 19 e 2
52 53 a 2
52 53 b 3
52 62 c 1
52 50 d 0
52 32 e 4
53 54 a 2
53 54 b 0
53 75 c 1
53 34 d 2
53 51 e 2
54 55 a 1
54 55 b 0
54 4 c 2
54 61 d 1
54 56 e 3
55 56 a 4
55 56 b 3
55 104 c 0
55 10 d 2
55 98 e 4
56 57 a 3
56 57 b 3
56 125 c 3
56 49 d 4
56 41 e 2
57 58 a 2
57 58 b 4
57 74 c 1
57 2 d 1
57 71 e 2
58 59 a 4
58 59 b 1
58 93 c 3
58 109 d 2
58 58 e 3
59 60 a 0
59 60 b 0
59 71 c 2
59 8 d 0
59 69 e 4
60 61 a 1
60 61 b 0
60 27 c 4
60 13 d 0
60 110 e 2
61 62 a 2
61 62 b 4
61 115 c 1
61 88 d 0
61 1 e 3
62 63 a 3
62 63 b 3
62 107 c 4
62 109 d 0
62 12 e 0
63 64 a 3
63 64 b 4
63 35 c 3
63 112 d 3
63 98 e 0
64 65 a 0
64 65 b 2
64 65 c 0
64 44 d 0
64 24 e 2
65 66 a 4
65 66 b 2
65 109 c 0
65 13 d 4
65 10 e 4
66 67 a 0
66 67 b 0
66 83 c 1
66 37 d 1
66 87 e 4
67 68 a 1
67 68 b 2
67 37 c 2
67 43 d 3
67 97 e 3
68 69 a 3
68 69 b 0
68 23 c 2
68 119 d 2
68 78 e 2
69 70 a 0
69 70 b 0
69 97 c 0
69 7 d 0
69 10 e 4
70 71 a 3
70 71 b 4
70 64 c 4
70 126 d 3
70 67 e 0
71 72 a 3
71 72 b 4
71 117 c 3
71 32 d 4
71 107 e 4
72 73 a 3
72 73 b 1
72 68 c 2
72 86 d 1
72 57 e 4
73 74 a 2
73 74 b 3
73 118 c 1
73 48 d 0
73 40 e 0
74 75 a 3
74 75 b 1
74 88 c 0
74 94 d 0
74 119 e 4
75 76 a 4
75 76 b 2
75 58 c 4
75 54 d 2
75 40 e 0
76 77 a 0
76 77 b 0
76 113 c 0
76 50 d 4
76 1 e 0
77 78 a 0
77 78 b 1
77 85 c 4
77 111 d 4
77 13 e 3
78 79 a 3
78 79 b 3
78 67 c 3
78 47 d 1
78 28 e 3
79 80 a 0
79 80 b 4
79 28 c 4
79 87 d 2
79 63 e 3
80 81 a 0
80 81 b 4
80 69 c 3
80 113 d 0
80 77 e 3
81 82 a 1
81 82 b 4
81 37 c 3
81 43 d 4
81 97 e 2
82 83 a 4
82 83 b 1
82 42 c 2
82 87 d 0
82 89 e 2
83 84 a 4
83 84 b 2
83 69 c 2
83 106 d 3
83 88 e 2
84 85 a 0
84 85 b 3
84 105 c 3
84 125 d 1
84 69 e 2
85 86 a 2
85 86 b 3
85 15 c 0
85 78 d 4
85 75 e 4
86 87 a 2
86 87 b 2
86 53 c 1
86 64 d 3
86 87 e 4
87 88 a 3
87 88 b 4
87 90 c 3
87 86 d 2
87 29 e 2
88 89 a 4
88 89 b 3
88 4 c 0
88 60 d 1
88 19 e 4
89 90 a 0
89 90 b 4
89 59 c 3
89 63 d 3
89 115 e 3
90 91 a 1
90 91 b 3
90 11 c 2
90 80 d 1
90 61 e 0
91 92 a 1
91 92 b 3
91 6 c 3
91 5 d 4
91 52 e 4
92 93 a 0
92 93 b 4
92 63 c 0
92 24 d 0
92 92 e 3
93 94 a 0
93 94 b 0
93 80 c 1
93 102 d 3
93 2 e 1
94 95 a 4
94 95 b 1
94 85 c 2
94 113 d 1
94 52 e 2
95 96 a 1
95 96 b 3
95 111 c 1
95 94 d 3
95 69 e 1
96 97 a 0
96 97 b 2
96 66 c 4
96 120 d 4
96 75 e 3
97 98 a 0
97 98 b 3
97 119 c 0
97 43 d 3
97 32 e 1
98 99 a 0
98 99 b 4
98 58 c 4
98 10 d 1
98 100 e 3
99 100 a 4
99 100 b 1
99 61 c 0
99 73 d 1
99 121 e 2
100 101 a 2
100 101 b 0
100 52 c 4
100 67 d 4
100 5 e 2
101 102 a 0
101 102 b 2
101 87 c 0
101 118 d 1
101 116 e 1
102 103 a 2
102 103 b 2
102 99 c 2
102 2 d 2
102 116 e 1
103 104 a 4
103 104 b 3
103 25 c 2
103 46 d 0
103 119 e 2
104 105 a 3
104 105 b 2
104 61 c 3
104 99 d 2
104 53 e 3
105 106 a 2
105 106 b 2
105 25 c 0
105 47 d 0
105 39 e 1
106 107 a 0
106 107 b 2
106 119 c 0
106 67 d 3
106 13 e 3
107 108 a 2
107 108 b 0
107 43 c 4
107 117 d 3
107 104 e 3
108 109 a 3
108 109 b 3
108 6 c 0
108 63 d 3
108 1 e 1
109 110 a 0
109 110 b 2
109 100 c 1
109 62 d 3
109 96 e 2
110 111 a 2
110 111 b 2
110 31 c 4
110 52 d 1
110 86 e 1
111 112 a 4
111 112 b 4
111 26 c 3
111 7 d 4
111 116 e 1
112 113 a 4
112 113 b 3
112 55 c 1
112 63 d 2
112 17 e 1
113 114 a 2
113 114 b 2
113 97 c 3
113 11 d 0
113 72 e 2
114 115 a 1
114 115 b 2
114 3 c 1
114 61 d 3
114 120 e 4
115 116 a 1
115 116 b 0
115 14 c 1
115 74 d 0
115 66 e 4
116 117 a 4
116 117 b 3
116 120 c 1
116 75 d 1
116 14 e 3
117 118 a 0
117 118 b 1
117 55 c 3
117 127 d 3
117 7 e 2
118 119 a 3
118 119 b 1
118 74 c 3
118 70 d 1
118 26 e 4
119 120 a 1
119 120 b 2
119 49 c 2
119 39 d 1
119 123 e 4
120 121 a 3
120 121 b 4
120 111 c 3
120 75 d 2
120 32 e 3
121 122 a 1
121 122 b 3
121 15 c 0
121 128 d 0
121 68 e 0
122 123 a 0
122 123 b 0
122 29 c 2
122 55 d 2
122 101 e 0
123 124 a 4
123 124 b 2
123 40 c 4
123 6 d 2
123 70 e 4
124 125 a 3
124 125 b 2
124 71 c 3
124 39 d 0
124 110 e 0
125 126 a 2
125 126 b 0
125 17 c 4
125 119 d 2
125 40 e 1
126 127 a 3
126 127 b 0
126 35 c 3
126 120 d 2
126 1 e 2
127 128 a 1
127 128 b 3
127 30 c 2
127 80 d 2
127 76 e 3
128 1 a 2
128 1 b 2
128 38 c 1
128 71 d 3
128 33 e 0

1 128 640 5 5 0
1 2 a 2
1 2 b 3
1 100 c 4
1 77 d 2
1 90 e 3
2 3 a 4
2 3 b 3
2 5 c 0
2 114 d 4
2 21 e 1
3 4 a 0
3 4 b 0
3 57 c 2
3 107 d 2
3 53 e 0
4 5 a 0
4 5 b 1
4 53 c 2
4 20 d 1
4 96 e 2
5 6 a 4
5 6 b 0
5 49 c 0
5 104 d 3
5 2 e 1
6 7 a 2
6 7 b 1
6 106 c 0
6 11 d 4
6 73 e 4
7 8 a 2
7 8 b 2
7 33 c 0
7 65 d 1
7 40 e 4
8 9 a 4
8 9 b 2
8 27 c 3
8 116 d 4
8 84 e 2
9 10 a 1
9 10 b 2
9 31 c 0
9 50 d 4
9 74 e 2
10 11 a 4
10 11 b 3
10 123 c 3
10 44 d 0
10 70 e 4
11 12 a 3
11 12 b 3
11 127 c 0
11 57 d 3
11 77 e 4
12 13 a 0
12 13 b 3
12 128 c 3
12 80 d 0
12 37 e 0
13 14 a 2
13 14 b 3
13 87 c 0
13 18 d 1
13 88 e 3
14 15 a 2
14 15 b 0
14 96 c 2
14 62 d 3
14 52 e 3
15 16 a 4
15 16 b 0
15 123 c 2
15 58 d 2
15 77 e 4
16 17 a 4
16 17 b 2
16 14 c 4
16 17 d 2
16 122 e 4
17 18 a 2
17 18 b 1
17 128 c 2
17 111 d 0
17 84 e 0
18 19 a 1
18 19 b 4
18 64 c 2
18 39 d 2
18 59 e 0
19 20 a 3
19 20 b 3
19 60 c 1
19 46 d 2
19 80 e 0
20 21 a 3
20 21 b 3
20 107 c 1
20 29 d 2
20 123 e 3
21 22 a 0
21 22 b 3
21 67 c 0
21 51 d 2
21 103 e 4
22 23 a 2
22 23 b 4
22 67 c 2
22 81 d 3
22 1 e 4
23 24 a 3
23 24 b 4
23 107 c 3
23 124 d 3
23 125 e 1
24 25 a 1
24 25 b 3
24 63 c 0
24 94 d 3
24 82 e 3
25 26 a 2
25 26 b 4
25 72 c 0
25 69 d 2
25 57 e 1
26 27 a 4
26 27 b 4
26 18 c 3
26 34 d 0
26 49 e 3
27 28 a 3
27 28 b 2
27 47 c 0
27 12 d 2
27 125 e 2
28 29 a 4
28 29 b 3
28 51 c 1
28 59 d 2
28 36 e 0
29 30 a 2
29 30 b 4
29 54 c 4
29 13 d 0
29 113 e 3
30 31 a 3
30 31 b 2
30 85 c 3
30 4 d 1
30 113 e 0
31 32 a 2
31 32 b 2
31 49 c 1
31 70 d 4
31 120 e 1
32 33 a 2
32 33 b 2
32 110 c 0
32 27 d 2
32 28 e 1
33 34 a 4
33 34 b 4
33 54 c 0
33 115 d 4
33 55 e 0
34 35 a 4
34 35 b 1
34 51 c 2
34 94 d 3
34 105 e 0
35 36 a 2
35 36 b 2
35 25 c 2
35 18 d 1
35 21 e 1
36 37 a 4
36 37 b 1
36 25 c 2
36 104 d 2
36 95 e 3
37 38 a 0
37 38 b 1
37 111 c 0
37 95 d 1
37 53 e 4
38 39 a 4
38 39 b 2
38 85 c 2
38 23 d 1
38 67 e 3
39 40 a 4
39 40 b 4
39 14 c 2
39 88 d 0
39 124 e 2
40 41 a 2
40 41 b 0
40 92 c 4
40 9 d 4
40 24 e 3
41 42 a 0
41 42 b 3
41 10 c 3
41 57 d 0
41 16 e 1
42 43 a 4
42 43 b 1
42 99 c 1
42 25 d 2
42 36 e 2
43 44 a 4
43 44 b 2
43 56 c 1
43 128 d 3
43 86 e 3
44 45 a 1
44 45 b 3
44 94 c 2
44 102 d 1
44 109 e 4
45 46 a 1
45 46 b 4
45 46 c 2
45 105 d 1
45 115 e 0
46 47 a 3
46 47 b 0
46 4 c 1
46 75 d 4
46 54 e 1
47 48 a 4
47 48 b 2
47 64 c 4
47 114 d 2
47 75 e 0
48 49 a 1
48 49 b 2
48 72 c 3
48 103 d 0
48 6 e 3
49 50 a 2
49 50 b 4
49 4 c 0
49 87 d 0
49 4 e 4
50 51 a 0
50 51 b 1
50 96 c 1
50 21 d 3
50 33 e 0
51 52 a 2
51 52 b 0
51 78 c 0
51 22 d 2
51 2 e 4
52 53 a 3
52 53 b 3
52 65 c 2
52 116 d 3
52 12 e 3
53 54 a 0
53 54 b 2
53 51 c 2
53 108 d 0
53 107 e 0
54 55 a 4
54 55 b 0
54 32 c 1
54 95 d 0
54 13 e 3
55 56 a 1
55 56 b 3
55 9 c 4
55 84 d 3
55 36 e 1
56 57 a 4
56 57 b 1
56 114 c 3
56 117 d 4
56 39 e 0
57 58 a 0
57 58 b 1
57 100 c 3
57 14 d 2
57 81 e 4
58 59 a 1
58 59 b 3
58 108 c 2
58 17 d 0
58 33 e 2
59 60 a 0
59 60 b 1
59 26 c 0
59 21 d 3
59 88 e 1
60 61 a 2
60 61 b 1
60 3 c 2
60 82 d 0
60 126 e 3
61 62 a 4
61 62 b 0
61 63 c 3
61 38 d 1
61 94 e 0
62 63 a 3
62 63 b 2
62 107 c 3
62 20 d 4
62 5 e 3
63 64 a 1
63 64 b 4
63 40 c 0
63 63 d 1
63 71 e 3
64 65 a 4
64 65 b 0
64 27 c 0
64 115 d 4
64 58 e 0
65 66 a 4
65 66 b 4
65 107 c 2
65 29 d 0
65 57 e 3
66 67 a 1
66 67 b 0
66 70 c 4
66 78 d 2
66 98 e 4
67 68 a 1
67 68 b 2
67 92 c 0
67 60 d 0
67 24 e 0
68 69 a 1
68 69 b 1
68 98 c 1
68 64 d 3
68 2 e 1
69 70 a 4
69 70 b 2
69 17 c 1
69 89 d 0
69 11 e 3
70 71 a 3
70 71 b 0
70 37 c 3
70 40 d 1
70 96 e 4
71 72 a 4
71 72 b 2
71 94 c 3
71 114 d 3
71 116 e 3
72 73 a 0
72 73 b 1
72 2 c 4
72 34 d 0
72 127 e 0
73 74 a 4
73 74 b 4
73 88 c 2
73 68 d 2
73 123 e 0
74 75 a 4
74 75 b 4
74 46 c 1
74 10 d 3
74 38 e 1
75 76 a 1
75 76 b 1
75 85 c 2
75 75 d 3
75 3 e 2
76 77 a 3
76 77 b 0
76 32 c 0
76 127 d 0
76 89 e 0
77 78 a 3
77 78 b 2
77 105 c 1
77 69 d 2
77 50 e 2
78 79 a 3
78 79 b 4
78 12 c 4
78 93 d 1
78 93 e 2
79 80 a 2
79 80 b 1
79 106 c 3
79 46 d 0
79 108 e 4
80 81 a 1
80 81 b 0
80 103 c 0
80 65 d 1
80 55 e 1
81 82 a 3
81 82 b 4
81 107 c 0
81 67 d 3
81 87 e 1
82 83 a 0
82 83 b 0
82 101 c 1
82 7 d 4
82 44 e 1
83 84 a 1
83 84 b 2
83 68 c 3
83 2 d 0
83 88 e 1
84 85 a 0
84 85 b 4
84 124 c 0
84 78 d 1
84 65 e 4
85 86 a 1
85 86 b 2
85 7 c 1
85 40 d 4
85 19 e 0
86 87 a 4
86 87 b 2
86 98 c 1
86 114 d 2
86 60 e 1
87 88 a 2
87 88 b 1
87 12 c 4
87 49 d 0
87 110 e 0
88 89 a 0
88 89 b 0
88 10 c 1
88 16 d 3
88 33 e 2
89 90 a 0
89 90 b 4
89 101 c 0
89 91 d 0
89 14 e 4
90 91 a 4
90 91 b 1
90 42 c 3
90 4 d 3
90 52 e 0
91 92 a 3
91 92 b 2
91 105 c 2
91 34 d 0
91 87 e 4
92 93 a 0
92 93 b 3
92 55 c 3
92 109 d 0
92 124 e 3
93 94 a 2
93 94 b 3
93 44 c 3
93 68 d 0
93 111 e 1
94 95 a 4
94 95 b 4
94 102 c 1
94 39 d 2
94 61 e 3
95 96 a 0
95 96 b 4
95 4 c 2
95 61 d 4
95 58 e 0
96 97 a 0
96 97 b 4
96 43 c 1
96 79 d 1
96 125 e 2
97 98 a 3
97 98 b 2
97 5 c 0
97 75 d 0
97 95 e 2
98 99 a 0
98 99 b 0
98 61 c 0
98 66 d 4
98 127 e 0
99 100 a 4
99 100 b 3
99 4 c 0
99 106 d 4
99 64 e 4
100 101 a 2
100 101 b 2
100 15 c 4
100 29 d 4
100 73 e 4
101 102 a 0
101 102 b 2
101 23 c 1
101 88 d 0
101 5 e 2
102 103 a 3
102 103 b 3
102 88 c 2
102 61 d 0
102 33 e 4
103 104 a 2
103 104 b 4
103 18 c 0
103 17 d 1
103 17 e 0
104 105 a 4
104 105 b 3
104 11 c 0
104 63 d 3
104 11 e 4
105 106 a 4
105 106 b 2
105 11 c 2
105 83 d 1
105 10 e 3
106 107 a 1
106 107 b 2
106 94 c 4
106 128 d 2
106 76 e 0
107 108 a 3
107 108 b 2
107 86 c 0
107 26 d 0
107 84 e 0
108 109 a 1
108 109 b 3
108 70 c 2
108 28 d 1
108 105 e 0
109 110 a 0
109 110 b 4
109 8 c 1
109 36 d 3
109 21 e 0
110 111 a 1
110 111 b 2
110 120 c 2
110 114 d 0
110 39 e 2
111 112 a 1
111 112 b 1
111 119 c 4
111 109 d 4
111 50 e 3
112 113 a 0
112 113 b 0
112 105 c 2
112 30 d 3
112 11 e 2
113 114 a 1
113 114 b 3
113 55 c 1
113 51 d 2
113 79 e 2
114 115 a 0
114 115 b 4
114 78 c 1
114 125 d 4
114 91 e 0
115 116 a 3
115 116 b 3
115 30 c 1
115 115 d 1
115 82 e 0
116 117 a 2
116 117 b 1
116 27 c 2
116 44 d 4
116 26 e 0
117 118 a 2
117 118 b 0
117 63 c 4
117 104 d 2
117 95 e 2
118 119 a 4
118 119 b 2
118 7 c 1
118 8 d 3
118 15 e 4
119 120 a 0
119 120 b 2
119 114 c 3
119 18 d 1
119 93 e 0
120 121 a 0
120 121 b 4
120 5 c 1
120 46 d 0
120 62 e 3
121 122 a 4
121 122 b 4
121 74 c 4
121 44 d 3
121 110 e 2
122 123 a 2
122 123 b 0
122 75 c 3
122 124 d 4
122 108 e 0
123 124 a 2
123 124 b 1
123 28 c 0
123 51 d 0
123 122 e 2
124 125 a 1
124 125 b 0
124 79 c 0
124 13 d 2
124 30 e 1
125 126 a 0
125 126 b 4
125 125 c 3
125 101 d 4
125 36 e 4
126 127 a 3
126 127 b 4
126 68 c 3
126 63 d 1
126 26 e 2
127 128 a 0
127 128 b 0
127 67 c 1
127 63 d 1
127 82 e 1
128 1 a 0
128 1 b 4
128 32 c 1
128 47 d 2
128 99 e 4

2 128 640 5 5 0
1 2 a 4
1 2 b 2
1 2 c 3
1 125 d 0
1 40 e 4
2 3 a 1
2 3 b 1
2 24 c 2
2 58 d 3
2 64 e 1
3 4 a 2
3 4 b 2
3 16 c 3
3 28 d 1
3 12 e 0
4 5 a 2
4 5 b 3
4 32 c 4
4 125 d 3
4 52 e 3
5 6 a 1
5 6 b 3
5 1 c 0
5 90 d 3
5 35 e 1
6 7 a 3
6 7 b 2
6 111 c 2
6 85 d 1
6 6 e 2
7 8 a 4
7 8 b 3
7 42 c 3
7 52 d 3
7 81 e 1
8 9 a 3
8 9 b 3
8 120 c 0
8 95 d 0
8 58 e 1
9 10 a 2
9 10 b 2
9 33 c 4
9 102 d 0
9 60 e 2
10 11 a 3
10 11 b 3
10 114 c 3
10 121 d 1
10 21 e 0
11 12 a 4
11 12 b 2
11 59 c 0
11 109 d 2
11 73 e 2
12 13 a 3
12 13 b 1
12 80 c 0
12 62 d 1
12 29 e 4
13 14 a 2
13 14 b 0
13 11 c 4
13 7 d 1
13 28 e 0
14 15 a 3
14 15 b 3
14 72 c 2
14 12 d 1
14 21 e 0
15 16 a 4
15 16 b 3
15 104 c 0
15 49 d 1
15 27 e 4
16 17 a 4
16 17 b 1
16 79 c 2
16 128 d 1
16 4 e 2
17 18 a 3
17 18 b 3
17 103 c 2
17 39 d 3
17 106 e 4
18 19 a 3
18 19 b 2
18 26 c 4
18 119 d 3
18 46 e 1
19 20 a 2
19 20 b 2
19 91 c 1
19 103 d 4
19 112 e 2
20 21 a 1
20 21 b 4
20 30 c 4
20 15 d 3
20 23 e 1
21 22 a 1
21 22 b 2
21 92 c 2
21 45 d 2
21 79 e 3
22 23 a 3
22 23 b 0
22 16 c 4
22 35 d 2
22 6 e 1
23 24 a 1
23 24 b 3
23 60 c 2
23 119 d 0
23 111 e 1
24 25 a 3
24 25 b 3
24 101 c 4
24 81 d 3
24 128 e 3
25 26 a 4
25 26 b 2
25 18 c 0
25 1 d 2
25 115 e 0
26 27 a 2
26 27 b 3
26 81 c 4
26 119 d 3
26 72 e 4
27 28 a 3
27 28 b 0
27 50 c 0
27 72 d 2
27 65 e 2
28 29 a 3
28 29 b 1
28 75 c 0
28 48 d 4
28 100 e 3
29 30 a 4
29 30 b 2
29 50 c 1
29 11 d 4
29 125 e 1
30 31 a 1
30 31 b 3
30 6 c 3
30 90 d 4
30 26 e 0
31 32 a 1
31 32 b 0
31 102 c 0
31 68 d 1
31 13 e 4
32 33 a 3
32 33 b 4
32 120 c 1
32 19 d 4
32 110 e 1
33 34 a 1
33 34 b 2
33 100 c 3
33 51 d 0
33 22 e 2
34 35 a 1
34 35 b 4
34 86 c 2
34 54 d 2
34 36 e 0
35 36 a 2
35 36 b 0
35 128 c 0
35 82 d 0
35 124 e 0
36 37 a 3
36 37 b 1
36 21 c 1
36 97 d 0
36 67 e 4
37 38 a 3
37 38 b 3
37 79 c 2
37 97 d 1
37 101 e 0
38 39 a 2
38 39 b 0
38 106 c 2
38 114 d 3
38 15 e 2
39 40 a 2
39 40 b 3
39 39 c 4
39 90 d 1
39 54 e 3
40 41 a 0
40 41 b 2
40 74 c 4
40 4 d 2
40 14 e 4
41 42 a 3
41 42 b 1
41 28 c 4
41 125 d 2
41 19 e 3
42 43 a 4
42 43 b 1
42 105 c 1
42 118 d 2
42 3 e 4
43 44 a 0
43 44 b 3
43 3 c 4
43 69 d 3
43 98 e 2
44 45 a 2
44 45 b 1
44 62 c 0
44 99 d 2
44 117 e 4
45 46 a 0
45 46 b 2
45 114 c 1
45 111 d 2
45 71 e 2
46 47 a 4
46 47 b 2
46 124 c 3
46 42 d 2
46 39 e 3
47 48 a 3
47 48 b 3
47 61 c 1
47 121 d 2
47 40 e 2
48 49 a 0
48 49 b 2
48 26 c 4
48 102 d 0
48 32 e 4
49 50 a 4
49 50 b 0
49 122 c 2
49 31 d 2
49 42 e 4
50 51 a 0
