Family,Method,Time (min),Memory (MB)
cerny,BFS,0.5,2594.7421875
cerny,BFS,1.0,2858.888671875
cerny,BFS,1.5,3138.681640625
cerny,BFS,2.0,3407.00390625
cerny,BFS,2.5,3682.3466796875
cerny,BFS,3.0,3960.0849609375
cerny,BFS,4.0,4519.806640625
cerny,BFS,5.0,5069.16796875
cerny,BFS,6.0,5690.1865234375
cerny,DFS,0.5,2545.810546875
cerny,DFS,1.0,2729.0380859375
cerny,DFS,1.5,2762.1318359375
cerny,DFS,2.0,2762.5751953125
cerny,DFS,2.5,2762.8603515625
cerny,DFS,3.0,2762.8583984375
cerny,DFS,4.0,2762.9296875
cerny,DFS,5.0,2763.3193359375
cerny,DFS,6.0,2763.318359375
cerny,Lookahead,0.5,2345.4208984375
cerny,Lookahead,1.0,2345.55078125
cerny,Lookahead,1.5,2345.5673828125
cerny,Lookahead,2.0,2345.568359375
cerny,Lookahead,2.5,2345.5693359375
cerny,Lookahead,3.0,2345.5693359375
cerny,Lookahead,4.0,2345.5693359375
cerny,Lookahead,5.0,2345.5693359375
cerny,Lookahead,6.0,2345.5703125
cerny,RL,0.5,3472.392578125
cerny,RL,1.0,4551.71875
cerny,RL,1.5,5530.5556640625
cerny,RL,2.0,6136.6484375
cerny,RL,2.5,6451.974609375
cerny,RL,3.0,6729.6259765625
cerny,RL,4.0,7310.3046875
cerny,RL,5.0,7870.759765625
cerny,RL,6.0,7870.759765625
complete,BFS,0.5,5256.2832421875
complete,BFS,1.0,6888.46796875
complete,BFS,1.5,8156.9009765625
complete,BFS,2.0,8654.0626953125
complete,BFS,2.5,8270.272578125
complete,BFS,3.0,8043.351328125
complete,BFS,4.0,8687.021171875
complete,BFS,5.0,7132.0551171875
complete,BFS,6.0,6997.6276953125
complete,DFS,0.5,3605.1990625
complete,DFS,1.0,3604.60546875
complete,DFS,1.5,3592.516875
complete,DFS,2.0,3588.2267578125
complete,DFS,2.5,3574.4988671875
complete,DFS,3.0,3564.7962890625
complete,DFS,4.0,3555.5466015625
complete,DFS,5.0,3550.99546875
complete,DFS,6.0,3549.0316015625
complete,Lookahead,0.5,3539.942109375
complete,Lookahead,1.0,3541.93
complete,Lookahead,1.5,3542.0478125
complete,Lookahead,2.0,3542.182265625
complete,Lookahead,2.5,3542.19828125
complete,Lookahead,3.0,3542.1989453125
complete,Lookahead,4.0,3542.1996875
complete,Lookahead,5.0,3542.200546875
complete,Lookahead,6.0,3542.2012109375
complete,RL,0.5,3873.26546875
complete,RL,1.0,4151.605703125
complete,RL,1.5,4419.9405078125
complete,RL,2.0,4682.8215234375
complete,RL,2.5,4945.9675
complete,RL,3.0,5208.9823828125
complete,RL,4.0,5734.448203125
complete,RL,5.0,6260.494921875
complete,RL,6.0,6786.37671875
partial,BFS,0.5,4758.5132421875
partial,BFS,1.0,6428.0886328125
partial,BFS,1.5,7932.46015625
partial,BFS,2.0,8704.281875
partial,BFS,2.5,9487.8533984375
partial,BFS,3.0,10149.5195703125
partial,BFS,4.0,10572.9648828125
partial,BFS,5.0,10303.89921875
partial,BFS,6.0,9972.054296875
partial,DFS,0.5,3469.2923046875
partial,DFS,1.0,3468.9325
partial,DFS,1.5,3465.572890625
partial,DFS,2.0,3463.01515625
partial,DFS,2.5,3454.57375
partial,DFS,3.0,3449.89703125
partial,DFS,4.0,3439.1358203125
partial,DFS,5.0,3434.53734375
partial,DFS,6.0,3429.5964453125
partial,Lookahead,0.5,3410.076640625
partial,Lookahead,1.0,3412.051640625
partial,Lookahead,1.5,3412.030859375
partial,Lookahead,2.0,3412.05890625
partial,Lookahead,2.5,3412.0708984375
partial,Lookahead,3.0,3412.0180078125
partial,Lookahead,4.0,3411.9880078125
partial,Lookahead,5.0,3412.04265625
partial,Lookahead,6.0,3412.087421875
